TOP LEVEL,BARRIERS,EXAMPLES,SPECIFIC ISSUES,ANSWER,Source?
,,"I am an Australian citizen who has lived in New Zealand for 3 years, can I vote?",I am an Australian citizen residing in New Zealand,"Enrol - You can enrol and vote once you have lived in New Zealand continuously for 12 months or more. You can enrol online using a **New Zealand passport** or *New Zealand drivers licence* or a **verified Realme login**, if you do not have these, you can complete a paper form.

Vote - You can cast a vote during the [[advance-voting]] period or cast an [[election-day-vote]].",https://vote.nz/enrolling/get-ready-to-enrol/are-you-eligible-to-enrol-and-vote & Electoral Act s 80(1)(b) and s 72(12)
,,"I am from Niue, Cook Islands or Tokelau and I don't know if I can enrol and vote in New Zealand","I am from the realm countries e.g. Niue, Cook Islands, or Tokelau","Enrol - You can enrol and vote once you have lived in New Zealand continuously for 12 months or more. If you have not been to New Zealand for over 12 months you cannot vote. You can enrol online using a **New Zealand passport** or **New Zealand drivers licence** or a **verified Realme login**, if you do not have these, you can complete a paper form.

Vote - You can cast a vote during the [[advance-voting]] period or cast an [[election-day-vote]]; or a [[special-vote]] (if you are not currently in NZ).",https://vote.nz/enrolling/get-ready-to-enrol/are-you-eligible-to-enrol-and-vote & Electoral Act 80(1)(b) and s 72(12)
,,,,,
,Key,,Summary,Description,
Special Vote,special-vote,,"A special vote is no different to a normal vote, except special voters must also sign a declaration form when they vote. ","A special vote is no different to a normal vote, except special voters must also sign a declaration form when they vote. There are several reasons why someone might need to cast a special vote. This includes if your name is not on the printed roll at a voting place by the time voting begins, this might occur because of the following reasons:

- You enrolled after the roll was printed (writ day **4 October**)
- You're voting away from your home electorate
- You're on the unpublished roll

When you get to a voting place, you'll need to fill out and sign a 'special declaration vote' form before you can vote, then you cast your vote as normal. 

Special votes are counted in the days following the election day. Special votes also include overseas votes, [[takeaway-vote]]s, and postal votes.
","https://vote.nz/2026-general-election/voting-in-the-election/what-to-do &
https://elections.nz/guidance-and-rules/candidate-hub/resources/enrolment-and-resources-2  
"
Takeaway Vote,takeaway-vote,,A takeaway vote is for those who cannot physically make it to a voting place during the advance voting period or on election day.,"A takeaway vote is for those who cannot physically make it to a voting place during the advance voting period or on election day. For those who cannot make it to a voting place nearby, you can authorise someone else to pick up your voting papers for you and bring them to you.

Closer to the election you will be able to download a form from the electoral commission's website which you will sign and ask someone to take it to a voting place. They will then bring back your voting papers to complete.

If you're not able to download and print the form, you can write the following information by hand on a piece of paper and have someone take it to a voting place. The handwritten authorisation must include:

- Your first and last name
- Your contact phone number
- The address where you're enrolled to vote
- The electoral roll (general or Māori) you believe you are enrolled on
- A statement authorize the bearer to collect voting papers on your behalf.

If you are completing a takeaway vote, your voting papers must be returned to a voting place **before** voting closes at **7pm** on election day on **7 November**.
",https://vote.nz/2026-general-election/voting-in-the-election/cant-get-to-a-voting-place 
Election day vote,election-day-vote,,"The 7th of November is the official date of the 2026 general election. It is considered the formal voting date of the general election, votes cast on this date will be counted as a regular vote (subject to some special vote exceptions).","The 7th of November is the official date of the 2026 general election. It is considered the formal voting date of the general election, votes cast on this date will be counted as a regular vote (subject to some special vote exceptions). 

On election day voting places must be open from 9am-7pm across New Zealand.

The voting places available near you will be posted by the electoral commission 3 weeks before election day. 

<https://map.vote.nz/voting-places> - Closer to the voting period this link will have information for you to check which voting place is near you.  

When you go to vote you can take your EasyVote card with you (you should receive this in the mail or via email). If you don't have a card or forget it, you can still vote.

When you arrive to vote, someone will be there to guide you and answer your questions. 

Give your EasyVote card to the person issuing voting papers or confirm your name and address to them. They’ll find your name on the electoral roll and give you a voting paper. Once you get your voting paper, you will be able to take it to a voting screen where you can vote privately.","https://vote.nz/2026-general-election/voting-in-the-election/what-to-do 
"
Advance voting,advance-voting,,"Advance voting begins 12 days before election day. This means in the 2026 election, any vote casted from the 26th of October until the 7th of November is an advance vote, and any vote made on the 7th of November is counted as an election day vote. ","Advance voting begins **12 days before** election day. This means in the 2026 election, any vote cast from the **26th of October** until the **6th of November** is an advance vote, and any vote made on the **7th of November** is counted as an [[election-day-vote]]. 

The process of advance voting is the same as an [[election-day-vote]], it just allows those who may be busy on election day or those who want to get in as early as possible, to cast their vote. 

There will be several advance voting places available to you in your electorate, you will be able to check where all the nearby voting places are and their hours on the electoral commission's website 3 weeks before election day.

<https://map.vote.nz/voting-places> - Closer to the voting period this link will have information for you to check which voting place is near you. 

When you go to vote you can take your EasyVote card with you (you should receive this in the mail or via email). If you don't have a card or forget it, you can still vote.

When you arrive to vote, someone will be there to guide you and answer your questions. 

Give your EasyVote card to the person issuing voting papers or confirm your name and address to them. They’ll find your name on the electoral roll and give you a voting paper. Once you get your voting paper, you will be able to take it to a voting screen where you can vote privately.
","https://elections.nz/guidance-and-rules/candidate-hub/resources/enrolment-and-resources-2 & https://vote.nz/2026-general-election/voting-in-the-election/what-to-do 
"
Māori roll ,maori-roll,,The Māori Electoral Option is a choice for all those with Māori descent on which electoral roll to choose when voting.,"The Māori Electoral Option is a choice for all those of Māori descent on which electoral roll to choose when voting. 

Māori are able to choose to enrol on the Māori roll or the general roll, they can change this any time except 3 months before an election. This year the closing date to change rolls was **Midnight 6 August**, but if you are Māori and still haven't enrolled you can still choose which roll once you complete you enrolment, the last day to complete you enrolment is **25 October**.

Your roll choice affects which candidates you can choose to vote for in parliamentary elections **AND** local elections for you electorate vote in particular. If you choose the Māori roll, you will vote for a candidate in the Māori electorate you live in. If you choose the general roll, you will vote for a candidate in the general electorate you live in. The options when voting for a political party remains the same across both rolls. 

It is also important as it helps determine the number of Māori and general electorates - the number of Māori who are enrolled on the Māori roll could mean an increase in the number of electorates, a decrease, or it can stay the same for future elections. There are currently seven Māori electorates and 65 general electorates. 

In the future, if you wish to change your roll choice, you can do so easily online if you have a **New Zealand passport** or **New Zealand drivers license** or a **Realme verified login**. You can also update your choice via the paper form.",https://vote.nz/maori-enrolment/about-the-option/about/what-does-your-choice-mean-for-you & https://vote.nz/maori-enrolment/resources/resources/history-of-the-maori-electoral-option 
What is my Address?,,,Your address for the purpose of enrolment is the place you have most recently resided in for 1 month or longer.,"Your address for the purpose of enrolment is the place you have most recently resided in for 1 month or longer.

For those who may have unstable housing conditions, who frequently move, or are overseas, you may change your **postal** address to ensure you receive any correspondence from the electoral commision - but your **residential** address should remain the place you last resided in New Zealand for 1 month or longer.

If you have recently moved, but by the election date you will have lived in your current address for 1 month or longer, you may change your address to this in advance of the election date.

It is important for your address to be up to date, if it isn't, you may eventually be removed from the electoral roll. The electoral commission will attempt to text or email you before this happens. ","https://vote.nz/enrolling/enrol-or-update/troubleshooting-your-enrolment & Electoral Act S 72 (1) (2) (3) and 74 (1) (2)
"
Dormant roll,dormant-roll,,"If the Electoral commission is unable to reach you via email, address, or phone,  you’ll be placed on the dormant roll. When you're on the dormant roll, you're still eligible to vote but won't appear on the printed roll at voting places. ","If the Electoral commission is unable to reach you via email, address, or phone, you’ll be placed on the dormant roll. 

When you're on the dormant roll, you're still eligible to vote but won't appear on the printed roll at voting places. This means you'll have to make a [[special-vote]]. If your new address is in a different electorate to your old address, it may also mean that only your party vote will count. Being on the dormant roll does not affect your roll type (general or Māori). 

Once you've been on the dormant roll for **3 years**, you will be **removed** from the electoral roll. The Electoral Comission is required to do this under the Electoral Act 1993. 

To come off the dormant roll you just need to update your address details – but be aware that you can't do this right before voting starts. To make sure you're removed from the dormant roll for the 2026 General Election, check and update your details before midnight, **Sunday 25 October 2026**. 

The only other circumstances where we remove someone from the electoral roll would be if they have passed away, if they have moved overseas, or if they have become ineligible for another reason such as being sentenced to a prison term.",https://vote.nz/2026-general-election/about/overview/free-and-fair-elections/facts-about-new-zealand-elections 
Unpublished roll,unpublished-roll,,"If you're concerned about your personal safety, or that of your family, you can apply to go on the confidential unpublished roll. The Electoral Commission will keep your enrolment details secure and we won't give them to anyone. ","If you're concerned about your personal safety, or that of your family, you can apply to go on the confidential unpublished roll. 

The Electoral Commission will keep your enrolment details secure and we won't give them to anyone. Going on the unpublished roll means your details won’t be included on printed electoral rolls. It also means you won't be able to check or update your enrolment details online. 

You'll need to make a [[special-vote]] at parliamentary and local elections. 

You need to provide information that shows why you need to register on the unpublished roll. Here are some examples of the type of information to include (you don't need all of these types of information to apply):

- A letter explaining why your work or personal circumstances place you at risk. This letter could be from your employer, lawyer, social worker, advocate, or someone of standing in the community. 
- A copy of a protection order that is in force under the Family Violence Act 2018. 
- A copy of a restraining order that is in force under the Harassment Act 1997. 
- Information from a police officer or corrections officer explaining why publishing your name and address could prejudice you or your family’s safety.",https://vote.nz/enrolling/get-ready-to-enrol/can-you-go-on-the-unpublished-roll 
What is a preferred name?,,,,,
,,,,,
Trying to help someone else enrol and vote,,"We will duplicate the information above and do a version that is for those helping others, a light reword, still to come",,,
